행정구역,latitude,longitude,2018년,2019년,2020년
동구,36.312169,127.454884,94280.5,89318.4,3459.3
중구,36.3256594,127.4215464,36270.1,34981.5,5637.6
서구,36.355504,127.383844,87978.5,83118.9,3536.8
유성구,36.3623219,127.3562683,71995.8,66900.5,4944.5
대덕구,36.346735,127.415502,29275.8,26237.3,3489.7
세종특별자치시,36.4803512,127.2894325,56548.9,54769.1,5097.8
충주시,36.991105,127.926012,44904.7,43255.6,3806.5
제천시,37.132646,128.191037,27794.6,25918.7,3629.2
청주시,36.6424987,127.488975,162927.6,152144.9,4150.2
보은군,36.489455,127.729485,5106.8,4881.6,2319.8
옥천군,36.3064369,127.5714191,8906.8,8209.6,3049.1
영동군,36.175047,127.783423,5535.6,5184.5,2315.1
진천군,36.85542,127.435602,20703.4,20644.9,4036.4
괴산군,36.815381,127.786704,6150.6,5548.8,2108.1
음성군,36.940282,127.690487,23478.1,22393.9,3570.8
단양군,36.984539,128.365589,5821.4,5577.2,2874.7
증평군,36.785345,127.581507,5200.1,4955,2754.1
천안시,36.815147,127.113892,158934.3,146169.7,4883
공주시,36.446556,127.11904,34303.8,35629.6,2896.7
보령시,36.333452,126.612803,21051.5,20085.2,3710.9
아산시,36.790013,127.002474,70801,65206.1,5086.8
서산시,36.7849216,126.4502766,34195.8,32141.5,3718.4
논산시,36.1872399,127.0986227,21553.3,19976.3,3341.5
계룡시,36.274554,127.248633,3796.5,3867.2,3381.4
당진시,36.8899744,126.6459003,35969.3,34014.4,3985.5
금산군,36.108857,127.488213,8293.2,7944.2,2281.6
부여군,36.275658,126.909775,9918,9704,2139.4
서천군,36.080286,126.6917418,8219.1,7816.4,2737.9
청양군,36.459151,126.802238,3564.9,3326.5,2441.1
홍성군,36.601324,126.660775,17812.9,16503.4,3548.8
예산군,36.6808995,126.8447382,13447.7,12814.2,2907.3
태안군,36.74561,126.297913,13062.6,12814.2,3067.9
