city_county,latitude,longitude,all_2018,all_2019,sosang_2018,sosang_2019,so_2018,so_2019,jung_2018,jung_2019,jungso_2018,jungso_2019,dae_2018,dae_2019
asan-si,36.790013,127.002474,130397,135671,52306,54132,33746,36137,25773,26892,111825,117161,18572,18510
boeun-gun,36.489455,127.729485,,,6176,6377,2159,2433,793,900,9128,9710,,
boryeong-si,36.333452,126.612803,34863,36312,20321,20995,6753,7003,4544,4746,31618,32744,3245,3568
buyeo-gun,36.275658,126.909775,,,11229,11443,3216,3457,1450,1503,15895,16403,,
cheonan-si,36.815147,127.113892,249756,257027,107855,111393,61260,59613,53453,57606,222568,228612,27188,28415
cheongju-si,36.6424987,127.488975,,,5918,5965,1796,1754,845,1023,8559,8742,,
cheongyang-gun,36.459151,126.802238,68394,70332,37662,38017,16571,14631,11172,14369,65405,67017,2989,3315
chungju-si,36.991105,127.926012,"278,802",284479,133292,136573,66465,67751,55126,55307,254883,259631,23919,24848
daejeon-si,36.3504396,127.3849508,502158,509429,237715,243269,107812,107426,88071,92605,433598,443300,68560,66129
daejeon-si daedeok-gu,36.346735,127.415502,87938,88564,38807,39145,17475,17080,13938,15292,70220,71517,17718,17047
daejeon-si dong-gu,36.312169,127.454884,56347,55773,34974,35072,10868,10685,9192,9985,55034,55742,1313,31
daejeon-si jung-gu,36.3256594,127.4215464,75545,73678,41145,40826,13653,13040,12399,11250,67197,65116,8348,8562
daejeon-si seo-gu,36.355504,127.383844,159850,161053,68820,71955,32024,31128,24897,25485,125741,128568,34109,32485
daejeon-si yuseong-gu,36.3623219,127.3562683,122478,130361,53969,56271,33792,35493,27645,30593,115406,122357,7072,8004
dangjin-si,36.8899744,126.6459003,71103,72861,29482,30539,17388,16603,16084,17384,62954,64526,8149,8335
danyang-gun,36.984539,128.365589,,,6341,6215,1910,2075,575,614,8826,8904,,
eumseong-gun,36.940282,127.690487,69463,73404,23100,23769,20426,22273,16732,17185,60258,63227,9205,10177
geumsan-gun,36.108857,127.488213,22090,23138,12887,13441,6171,6319,2845,3305,21903,23065,187,73
goesan-gun,36.815381,127.786704,12442,13199,6629,7051,2979,3100,2070,2217,11678,12368,764,831
gongju-si,36.446556,127.11904,40974,59128,20058,20701,8378,8352,5336,5428,33772,34481,7202,24647
gyeryong-si,36.274554,127.248633,6950,7370,4333,4605,1829,1914,788,851,6950,7370,,
hongseong-gun,36.601324,126.660775,28624,29336,17984,18364,6554,7055,3433,3153,27971,28572,653,764
jecheon-si,37.132646,128.191037,39764,40338,25485,25488,8325,8635,4448,5232,38258,39355,1506,983
jeungpyeong-gun,36.785345,127.581507,10971,10568,6179,6144,2253,2213,972,1093,9404,9450,1567,1118
jincheon-gun,36.85542,127.435602,46830,51705,15755,16180,13022,13697,11312,11855,40089,41732,6741,9973
nonsan-si,36.1872399,127.0986227,38350,38570,23035,23648,9257,8910,5370,5415,37662,37973,688,597
okcheon-gun,36.3064369,127.5714191,,,10217,10505,4672,4851,1856,1959,16745,17315,,
sejong-si,36.4803512,127.2894325,83887,87159,43725,47237,17585,19134,11867,13058,73177,79429,10710,7730
seocheon-gun,36.080286,126.6917418,16071,16491,10405,10729,4015,4043,972,1063,15392,15835,679,656
seosan-si,36.7849216,126.4502766,61751,62887,28038,28328,15521,15465,8257,8548,51816,52341,9935,10546
taean-gun,36.74561,126.297913,22355,22754,13998,14375,3606,3479,1581,1680,19185,19534,3170,3220
yeongdong-gun,36.175047,127.783423,,,7164,7564,2332,2469,872,930,10368,10963,,
yesan-gun,36.6808995,126.8447382,28289,29189,14749,14950,6835,7189,5097,5509,26681,27648,1608,1541
