구분,전체,전체,소상공인,소상공인,소기업,소기업,중기업,중기업,중소기업,중소기업,대기업,대기업
연도,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020
동구,56347,55773,34974,35072,10868,10685,9192,9985,55034,55742,1313,31
중구,75545,73678,41145,40826,13653,13040,12399,11250,67197,65116,8348,8562
서구,159850,161053,68820,71955,32024,31128,24897,25485,125741,128568,34109,32485
유성구,122478,130361,53969,56271,33792,35493,27645,30593,115406,122357,7072,8004
대덕구,87938,88564,38807,39145,17475,17080,13938,15292,70220,71517,17718,17047
충주시,68394,70332,37662,38017,16571,14631,11172,14369,65405,67017,2989,3315
제천시,39764,40338,25485,25488,8325,8635,4448,5232,38258,39355,1506,983
청주시,"278,802",284479,133292,136573,66465,67751,55126,55307,254883,259631,23919,24848
보은군,,,6176,6377,2159,2433,793,900,9128,9710,,
옥천군,,,10217,10505,4672,4851,1856,1959,16745,17315,,
영동군,,,7164,7564,2332,2469,872,930,10368,10963,,
진천군,46830,51705,15755,16180,13022,13697,11312,11855,40089,41732,6741,9973
괴산군,12442,13199,6629,7051,2979,3100,2070,2217,11678,12368,764,831
음성군,69463,73404,23100,23769,20426,22273,16732,17185,60258,63227,9205,10177
단양군,,,6341,6215,1910,2075,575,614,8826,8904,,
증평군,10971,10568,6179,6144,2253,2213,972,1093,9404,9450,1567,1118
천안시,249756,257027,107855,111393,61260,59613,53453,57606,222568,228612,27188,28415
공주시,40974,59128,20058,20701,8378,8352,5336,5428,33772,34481,7202,24647
보령시,34863,36312,20321,20995,6753,7003,4544,4746,31618,32744,3245,3568
아산시,130397,135671,52306,54132,33746,36137,25773,26892,111825,117161,18572,18510
서산시,61751,62887,28038,28328,15521,15465,8257,8548,51816,52341,9935,10546
논산시,38350,38570,23035,23648,9257,8910,5370,5415,37662,37973,688,597
계룡시,6950,7370,4333,4605,1829,1914,788,851,6950,7370,,
당진시,71103,72861,29482,30539,17388,16603,16084,17384,62954,64526,8149,8335
금산군,22090,23138,12887,13441,6171,6319,2845,3305,21903,23065,187,73
부여군,,,11229,11443,3216,3457,1450,1503,15895,16403,,
서천군,16071,16491,10405,10729,4015,4043,972,1063,15392,15835,679,656
청양군,,,5918,5965,1796,1754,845,1023,8559,8742,,
홍성군,28624,29336,17984,18364,6554,7055,3433,3153,27971,28572,653,764
예산군,28289,29189,14749,14950,6835,7189,5097,5509,26681,27648,1608,1541
태안군,22355,22754,13998,14375,3606,3479,1581,1680,19185,19534,3170,3220
